source,model_id,lineage,eligible_screen_ids,EP300_matrix_value,EP300_status
Avana,ACH-000398,Lymphoid,SC-000398.AV01,0,matrix_intact
Avana,ACH-000401,Skin,SC-000401.AV01,0,matrix_intact
Avana,ACH-000402,Lymphoid,SC-000402.AV01,0,matrix_intact
Avana,ACH-000403,Bowel,SC-000403.AV01,0,matrix_intact
Avana,ACH-000404,Skin,SC-000404.AV01,0,matrix_intact
Avana,ACH-000405,Lymphoid,SC-000405.AV01,0,matrix_intact
Avana,ACH-000406,Myeloid,SC-000406.AV01,0,matrix_intact
Avana,ACH-000407,Uterus,SC-000407.AV01,0,matrix_intact
Avana,ACH-000408,Esophagus/Stomach,SC-000408.AV01,0,matrix_intact
Avana,ACH-000410,Bone,SC-000410.AV01,0,matrix_intact
Avana,ACH-000411,Kidney,SC-000411.AV01,0,matrix_intact
Avana,ACH-000414,Lung,SC-000414.AV01,0,matrix_intact
Avana,ACH-000415,Head and Neck,SC-000415.AV01,0,matrix_intact
Avana,ACH-000416,Lung,SC-000416.AV01,0,matrix_intact
Avana,ACH-000417,Pancreas,SC-000417.AV01,0,matrix_intact
Avana,ACH-000420,Liver,SC-000420.AV01,0,matrix_intact
Avana,ACH-000421,Bowel,SC-000421.AV01,0,matrix_intact
Avana,ACH-000422,Liver,SC-000422.AV01,0,matrix_intact
Avana,ACH-000424,Bone,SC-000424.AV01,0,matrix_intact
Avana,ACH-000425,Skin,SC-000425.AV01,0,matrix_intact
Avana,ACH-000426,Lymphoid,SC-000426.AV01,0,matrix_intact
Avana,ACH-000427,Esophagus/Stomach,SC-000427.AV01,0,matrix_intact
Avana,ACH-000431,Lung,SC-000431.AV01,0,matrix_intact
Avana,ACH-000433,Kidney,SC-000433.AV01,0,matrix_intact
Avana,ACH-000434,Lung,SC-000434.AV01,0,matrix_intact
Avana,ACH-000435,Uterus,SC-000435.AV01,0,matrix_intact
Avana,ACH-000436,Lymphoid,SC-000436.AV01,0,matrix_intact
Avana,ACH-000437,CNS/Brain,SC-000437.AV01,0,matrix_intact
Avana,ACH-000438,Lung,SC-000438.AV01,0,matrix_intact
Avana,ACH-000441,Skin,SC-000441.AV02,0,matrix_intact
Avana,ACH-000444,Lung,SC-000444.AV01,2,damaging
Avana,ACH-000445,CNS/Brain,SC-000445.AV01,0,matrix_intact
Avana,ACH-000448,Lung,SC-000448.AV01,0,matrix_intact
Avana,ACH-000450,Skin,SC-000450.AV01,0,matrix_intact
Avana,ACH-000452,Esophagus/Stomach,SC-000452.AV01,0,matrix_intact
Avana,ACH-000454,Lung,SC-000454.AV01,0,matrix_intact
Avana,ACH-000455,CNS/Brain,SC-000455.AV01,0,matrix_intact
Avana,ACH-000456,Thyroid,SC-000456.AV01,0,matrix_intact
Avana,ACH-000458,Skin,SC-000458.AV01,0,matrix_intact
Avana,ACH-000459,Kidney,SC-000459.AV01,0,matrix_intact
Avana,ACH-000460,Ovary/Fallopian Tube,SC-000460.AV01,0,matrix_intact
Avana,ACH-000461,Biliary Tract,SC-000461.AV01,0,matrix_intact
Avana,ACH-000463,Lung,SC-000463.AV01,0,matrix_intact
Avana,ACH-000464,CNS/Brain,SC-000464.AV01,0,matrix_intact
Avana,ACH-000466,Esophagus/Stomach,SC-000466.AV01,0,matrix_intact
Avana,ACH-000467,Bowel,SC-000467.AV01,0,matrix_intact
Avana,ACH-000468,Pancreas,SC-000468.AV01,0,matrix_intact
Avana,ACH-000469,CNS/Brain,SC-000469.AV01,0,matrix_intact
Avana,ACH-000470,Bowel,SC-000470.AV01,0,matrix_intact
Avana,ACH-000471,Liver,SC-000471.AV01,0,matrix_intact
Avana,ACH-000472,Head and Neck,SC-000472.AV01,0,matrix_intact
Avana,ACH-000473,Bladder/Urinary Tract,SC-000473.AV01,0,matrix_intact
Avana,ACH-000475,Liver,SC-000475.AV01,0,matrix_intact
Avana,ACH-000476,Liver,SC-000476.AV01,0,matrix_intact
Avana,ACH-000477,Skin,SC-000477.AV01,0,matrix_intact
Avana,ACH-000478,Liver,SC-000478.AV01,0,matrix_intact
Avana,ACH-000479,CNS/Brain,SC-000479.AV01,0,matrix_intact
Avana,ACH-000480,Liver,SC-000480.AV01,0,matrix_intact
Avana,ACH-000481,Lung,SC-000481.AV01,0,matrix_intact
Avana,ACH-000483,Liver,SC-000483.AV01,0,matrix_intact
Avana,ACH-000484,Kidney,SC-000484.AV01,0,matrix_intact
Avana,ACH-000485,Esophagus/Stomach,SC-000485.AV01,0,matrix_intact
Avana,ACH-000486,Bladder/Urinary Tract,SC-000486.AV01,1,damaging
Avana,ACH-000487,Myeloid,SC-000487.AV01,0,matrix_intact
Avana,ACH-000488,Esophagus/Stomach,SC-000488.AV01,0,matrix_intact
Avana,ACH-000489,Bowel,SC-000489.AV01,0,matrix_intact
Avana,ACH-000490,Cervix,SC-000490.AV01,0,matrix_intact
Avana,ACH-000491,Bowel,SC-000491.AV01,0,matrix_intact
Avana,ACH-000493,Liver,SC-000493.AV01,0,matrix_intact
Avana,ACH-000495,Kidney,SC-000495.AV01,0,matrix_intact
Avana,ACH-000496,Lung,SC-000496.AV01,0,matrix_intact
Avana,ACH-000499,Bone,SC-000499.AV01,0,matrix_intact
Avana,ACH-000500,Head and Neck,SC-000500.AV01,0,matrix_intact
Avana,ACH-000502,Pancreas,SC-000502.AV01,0,matrix_intact
Avana,ACH-000503,Head and Neck,SC-000503.AV01,0,matrix_intact
Avana,ACH-000504,CNS/Brain,SC-000504.AV01,0,matrix_intact
Avana,ACH-000505,Soft Tissue,SC-000505.AV01,0,matrix_intact
Avana,ACH-000507,Esophagus/Stomach,SC-000507.AV01,0,matrix_intact
Avana,ACH-000510,Lung,SC-000510.AV01,0,matrix_intact
Avana,ACH-000511,Lung,SC-000511.AV01,0,matrix_intact
Avana,ACH-000512,Lymphoid,SC-000512.AV01,0,matrix_intact
Avana,ACH-000514,Lung,SC-000514.AV01,0,matrix_intact
Avana,ACH-000516,Bone,SC-000516.AV01,0,matrix_intact
Avana,ACH-000517,Pancreas,SC-000517.AV01,0,matrix_intact
Avana,ACH-000518,Head and Neck,SC-000518.AV01,0,matrix_intact
Avana,ACH-000520,Ovary/Fallopian Tube,SC-000520.AV01,0,matrix_intact
Avana,ACH-000521,Lung,SC-000521.AV01,0,matrix_intact
Avana,ACH-000522,Bladder/Urinary Tract,SC-000522.AV01,0,matrix_intact
Avana,ACH-000524,Ovary/Fallopian Tube,SC-000524.AV01,0,matrix_intact
Avana,ACH-000525,Lung,SC-000525.AV01,0,matrix_intact
Avana,ACH-000527,Ovary/Fallopian Tube,SC-000527.AV01,0,matrix_intact
Avana,ACH-000528,Lung,SC-000528.AV01,0,matrix_intact
Avana,ACH-000532,Bowel,SC-000532.AV01,0,matrix_intact
Avana,ACH-000533,Kidney,SC-000533.AV01,0,matrix_intact
Avana,ACH-000535,Pancreas,SC-000535.AV01,1,damaging
Avana,ACH-000537,Liver,SC-000537.AV01,0,matrix_intact
Avana,ACH-000541,Lymphoid,SC-000541.AV01,0,matrix_intact
Avana,ACH-000542,Ovary/Fallopian Tube,SC-000542.AV01,0,matrix_intact
Avana,ACH-000544,Esophagus/Stomach,SC-000544.AV01,0,matrix_intact
Avana,ACH-000545,Bladder/Urinary Tract,SC-000545.AV01,1,damaging
Avana,ACH-000547,Bladder/Urinary Tract,SC-000547.AV01,0,matrix_intact
Avana,ACH-000548,Head and Neck,SC-000548.AV01,0,matrix_intact
Avana,ACH-000549,Head and Neck,SC-000549.AV01,0,matrix_intact
Avana,ACH-000550,Skin,SC-000550.AV01,0,matrix_intact
Avana,ACH-000551,Myeloid,SC-000551.AV01,0,matrix_intact
Avana,ACH-000552,Bowel,SC-000552.AV01,0,matrix_intact
Avana,ACH-000556,Cervix,SC-000556.AV01,0,matrix_intact
Avana,ACH-000557,Myeloid,SC-000557.AV01,0,matrix_intact
Avana,ACH-000559,Lung,SC-000559.AV01,0,matrix_intact
Avana,ACH-000563,Lung,SC-000563.AV01,0,matrix_intact
Avana,ACH-000567,Lymphoid,SC-000567.AV01,0,matrix_intact
Avana,ACH-000570,CNS/Brain,SC-000570.AV01,0,matrix_intact
Avana,ACH-000571,CNS/Brain,SC-000571.AV01,0,matrix_intact
Avana,ACH-000573,Breast,SC-000573.AV01,0,matrix_intact
Avana,ACH-000576,Lymphoid,SC-000576.AV01,0,matrix_intact
Avana,ACH-000577,Liver,SC-000577.AV01,0,matrix_intact
Avana,ACH-000579,Skin,SC-000579.AV01,0,matrix_intact
Avana,ACH-000580,Skin,SC-000580.AV01,0,matrix_intact
Avana,ACH-000581,Esophagus/Stomach,SC-000581.AV02,1,damaging
Avana,ACH-000584,Ovary/Fallopian Tube,SC-000584.AV01,0,matrix_intact
Avana,ACH-000585,Lung,SC-000585.AV01,0,matrix_intact
Avana,ACH-000587,Lung,SC-000587.AV01,0,matrix_intact
Avana,ACH-000588,Lymphoid,SC-000588.AV01,0,matrix_intact
Avana,ACH-000589,Lung,SC-000589.AV01,0,matrix_intact
Avana,ACH-000591,CNS/Brain,SC-000591.AV01,0,matrix_intact
Avana,ACH-000592,CNS/Brain,SC-000592.AV01,0,matrix_intact
Avana,ACH-000593,Bladder/Urinary Tract,SC-000593.AV01,0,matrix_intact
Avana,ACH-000595,CNS/Brain,SC-000595.AV01,0,matrix_intact
Avana,ACH-000596,Lung,SC-000596.AV01,0,matrix_intact
Avana,ACH-000597,Kidney,SC-000597.AV01,0,matrix_intact
Avana,ACH-000599,Pancreas,SC-000599.AV01,0,matrix_intact
Avana,ACH-000601,Pancreas,SC-000601.AV01,0,matrix_intact
Avana,ACH-000602,Myeloid,SC-000602.AV03,0,matrix_intact
Avana,ACH-000604,Myeloid,SC-000604.AV01,0,matrix_intact
Avana,ACH-000605,Esophagus/Stomach,SC-000605.AV01,0,matrix_intact
Avana,ACH-000606,Head and Neck,SC-000606.AV01,0,matrix_intact
Avana,ACH-000607,Soft Tissue,SC-000607.AV02,0,matrix_intact
Avana,ACH-000608,Ovary/Fallopian Tube,SC-000608.AV01,0,matrix_intact
Avana,ACH-000609,CNS/Brain,SC-000609.AV01,0,matrix_intact
Avana,ACH-000614,Skin,SC-000614.AV01;SC-002875.AV01,0,matrix_intact
Avana,ACH-000616,Esophagus/Stomach,SC-000616.AV01,0,matrix_intact
Avana,ACH-000618,Head and Neck,SC-000618.AV01,0,matrix_intact
Avana,ACH-000619,Head and Neck,SC-000619.AV01,0,matrix_intact
Avana,ACH-000620,Liver,SC-000620.AV01,0,matrix_intact
Avana,ACH-000621,Breast,SC-000621.AV01,0,matrix_intact
Avana,ACH-000622,CNS/Brain,SC-000622.AV01,0,matrix_intact
Avana,ACH-000623,CNS/Brain,SC-000623.AV01,0,matrix_intact
Avana,ACH-000624,Breast,SC-000624.AV01,0,matrix_intact
Avana,ACH-000627,Lung,SC-000627.AV01,0,matrix_intact
Avana,ACH-000630,Head and Neck,SC-000630.AV01,0,matrix_intact
Avana,ACH-000632,Skin,SC-000632.AV01,0,matrix_intact
Avana,ACH-000633,Esophagus/Stomach,SC-000633.AV01,0,matrix_intact
Avana,ACH-000634,CNS/Brain,SC-000634.AV01,0,matrix_intact
Avana,ACH-000637,Esophagus/Stomach,SC-000637.AV01,0,matrix_intact
